,1,2,3.0,Page Level 4,Page Layout,Existing / Additional Page ?,Inspiration / Current URL (if existing page),Who should write the content?,Notes,Target Keyword,SV,KWD,Additional KWs,Old H1,New Header,Old Title,New Title,Chars (50-65),URL,Old Metas,New Meta Description,Chars (130-160),Type of Content ,Notes,"Original URL 
(if rewritten) ",Document Link,Notes,PSD,Des. URL,Notes,Dev. URL,Date Published ,Live URL ,map_id,map_data,meta_tag,H1_tag,New Header ,Extracted Text,Meta_Link,H1_Link,Article_Link,Title_Link,Page_type,H1_id,H1_com,Meta_id,Meta_com,Article_link,Article_id,Title_id,Title_com,H1_Updated_DB,Meta_Updated_DB,Title_Updated_DB,Fields_Tables_D
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,False,,,,,,,,,,,,,,,,False,False,False,False
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,False,,,,,,,,,,,,,,,,False,False,False,False
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,False,False,,,,,,,,,,,,,,,,False,False,False,False
3,Home,,,,,Existing Page,https://linuxsecurity.com/,,,"Top Linux News, Advisories, HowTo's and Feature Release.",,,,"Linux Security - Your source for Top Linux News, Advisories, HowTo's and Feature Release.",,Linux Security - Top News | Advisories | HowTo's | Feature Releases,"Top Linux News, Advisories, How-tos, and Feature Releases",57,https://linuxsecurity.com/,"Linux Security is dedicated to producing the latest security news, best guides, how-tos, feature releases & forums for the Linux community.","Stay ahead with top Linux news, security advisories, expert how-to guides, and cutting-edge feature releases. Your go-to hub for all things Linux.",146,Website Page,,,,,,,,,,,3,"['SP Page Builder', 'No H1 update - Skip?', 'xu5gc_menu - `params`']",False,False,,home,,,,,,,,,,,,,,False,False,False,False
4,News,,,,,Existing Page,https://linuxsecurity.com/news,,,Latest Linux Security News & Information,,,,LinuxSecurity News,Latest Linux Security News & Information,The Latest LinuxSecurity News & Information,Latest Linux Security News & Information - Linux Security,57,https://linuxsecurity.com/news,The Latest LinuxSecurity News & Information LinuxSecurity.com is the community's central source for information on Linux and open source security. We follow the,Stay informed with the latest in Linux security news & updates. Your trusted resource for staying ahead in the world of Linux security.,135,Website Page,,,,,,,,,,,4,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Latest Linux Security News & Information,news,index.php?option=com_menu&view=metadescription&id=107,index.php?option=com_sppagebuilder&view=page&id=11,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=107,SP Page Builder Module,11,xu5gc_sppagebuilder,107,xu5gc_menu,,,107,xu5gc_menu,False,True,True,False
5,,Cloud Security,,,,Existing Page,https://linuxsecurity.com/news/cloud-security,,,Cloud Security,,,,Cloud Security,Cloud Security,Cloud Security | LinuxSecurity.com,Elevate Your Linux Cloud Security with Linux Security,53,https://linuxsecurity.com/news/cloud-security,Cloud Security Linux Cloud security news,Empowering your cloud security journey with expert insights and strategies. Elevate your Linux cloud security game with our trusted resources.,142,Website Page,,,,,,,,,,,5,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Cloud Security,cloud-security,index.php?option=com_menu&view=metadescription&id=581,index.php?option=com_sppagebuilder&view=page&id=15,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=581,SP Page Builder Module,15,xu5gc_sppagebuilder,581,xu5gc_menu,,,581,xu5gc_menu,False,True,True,False
6,,Cryptography,,,,Existing Page,https://linuxsecurity.com/news/cryptography,,,Linux Cryptography,,,,Cryptography,Linux Cryptography,Cryptography | LinuxSecurity.com,Master Linux Cryptography with Linux Security's Guides,,https://linuxsecurity.com/news/cryptography,"Cryptography We have thousands of Cryptography posts on a wide variety of open source and security topics, conveniently organized for searching or just browsing",Unlock the power of Linux cryptography. Dive into cutting-edge techniques and insights for robust security. Your guide to mastering Linux cryptography.,151,Website Page,,,,,,,,,,,6,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Linux Cryptography,cryptography,index.php?option=com_menu&view=metadescription&id=596,index.php?option=com_sppagebuilder&view=page&id=29,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=596,SP Page Builder Module,29,xu5gc_sppagebuilder,596,xu5gc_menu,,,596,xu5gc_menu,False,True,True,False
7,,Desktop Security,,,,Existing Page,https://linuxsecurity.com/news/desktop-security,,,Desktop Security,,,,Desktop Security,Desktop Security,Desktop Security | LinuxSecurity.com,Upgrade Your Desktop Security with Linux Security Tips,54,https://linuxsecurity.com/news/desktop-security,Desktop Security LinuxSecurity.com is the community's central source for information on Linux and open source security. We follow the open source trends as they,"Fortify your Linux desktop security. Stay ahead with tips, tools, and strategies for a protected desktop environment. Your gateway to robust defenses.",150,Website Page,,,,,,,,,,,7,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Desktop Security,desktop-security,index.php?option=com_menu&view=metadescription&id=679,index.php?option=com_sppagebuilder&view=page&id=248,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=679,SP Page Builder Module,248,xu5gc_sppagebuilder,679,xu5gc_menu,,,679,xu5gc_menu,False,True,True,False
8,,Firewall,,,,Existing Page,https://linuxsecurity.com/news/firewall,,,Linux Firewall,,,,Firewall,Linux Firewall,Firewall | LinuxSecurity.com,Master Linux Firewall Protection with Linux Secutiy,51,https://linuxsecurity.com/news/firewall,Firewall LinuxSecurity.com is the community's central source for information on Linux and open source security. We follow the open source trends as they affect,"Mastering Linux firewall protection. Empowering you with insights, tools, and tactics for fortified security. Your go-to for Linux firewall expertise.",150,Website Page,,,,,,,,,,,8,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Linux Firewall,firewall,index.php?option=com_menu&view=metadescription&id=595,index.php?option=com_sppagebuilder&view=page&id=28,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=595,SP Page Builder Module,28,xu5gc_sppagebuilder,595,xu5gc_menu,,,595,xu5gc_menu,False,True,True,False
9,,Government,,,,Existing Page,https://linuxsecurity.com/news/government,,,Government,,,,Government,Government,Government | LinuxSecurity.com,Securing a Government System with Linux Security's Experts,58,https://linuxsecurity.com/news/government,"Government We have thousands of Government posts on a wide variety of open source and security topics, conveniently organized for searching or just browsing.","Securing government systems with Linux expertise. Stay updated on strategies, compliance, and insights for robust government security",133,Website Page,,,,,,,,,,,9,"['SP Page Builder Module', 'xu5gc_sppagebuilder - `text`', 'xu5gc_menu - `params`']",True,False,Government,government,index.php?option=com_menu&view=metadescription&id=591,index.php?option=com_sppagebuilder&view=page&id=24,,index.php?option=com_menu&view=item&client_id=0&layout=edit&id=591,SP Page Builder Module,24,xu5gc_sppagebuilder,591,xu5gc_menu,,,591,xu5gc_menu,False,True,True,False
